蛍	名詞,一般,*,*,*,*,蛍,ホタル,ホタル
FK	名詞,一般,*,*,*,*,*
も	助詞,係助詞,*,*,*,*,も,モ,モ
怖く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,怖い,コワク,コワク
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
livedoornews	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
#	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
】	記号,括弧閉,*,*,*,*,】,】,】
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
、	記号,読点,*,*,*,*,、,、,、
先制	名詞,サ変接続,*,*,*,*,先制,センセイ,センセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
許す	動詞,自立,*,*,五段・サ行,基本形,許す,ユルス,ユルス
(	名詞,サ変接続,*,*,*,*,*
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
)	名詞,サ変接続,*,*,*,*,*
🇯🇵	記号,一般,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
0	名詞,数,*,*,*,*,*
ー	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
🇵🇾	記号,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
livedoornews	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
#	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
】	記号,括弧閉,*,*,*,*,】,】,】
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
、	記号,読点,*,*,*,*,、,、,、
先制	名詞,サ変接続,*,*,*,*,先制,センセイ,センセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
許す	動詞,自立,*,*,五段・サ行,基本形,許す,ユルス,ユルス
(	名詞,サ変接続,*,*,*,*,*
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
)	名詞,サ変接続,*,*,*,*,*
🇯🇵	記号,一般,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
0	名詞,数,*,*,*,*,*
ー	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
🇵🇾	記号,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
trsgp	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
見	動詞,自立,*,*,一段,未然形,見る,ミ,ミ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ
て	動詞,非自立,*,*,一段,連用形,てる,テ,テ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
誰か	名詞,一般,*,*,*,*,誰か,ダレカ,ダレカ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
役に立て	動詞,自立,*,*,五段・タ行,仮定形,役に立つ,ヤクニタテ,ヤクニタテ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
嬉しい	形容詞,自立,*,*,形容詞・イ段,基本形,嬉しい,ウレシイ,ウレシイ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
WorldCup	名詞,一般,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
OwsZ	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
DEGGT	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
paddock	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
watcher	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
マンダム	名詞,固有名詞,組織,*,*,*,マンダム,マンダム,マンダム
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
uCw	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
mFQrAA	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
chidajunsei	名詞,一般,*,*,*,*,*
3163	名詞,数,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
スタメン	名詞,一般,*,*,*,*,スタメン,スタメン,スタメン
#	名詞,サ変接続,*,*,*,*,*
SAMURAIBLUE	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
PU	名詞,一般,*,*,*,*,*
254	名詞,数,*,*,*,*,*
yMH	名詞,一般,*,*,*,*,*
65	名詞,数,*,*,*,*,*
おおお	動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,おおう,オオオ,オオオ
、	記号,読点,*,*,*,*,、,、,、
カンビアッソ	名詞,一般,*,*,*,*,*
！	記号,一般,*,*,*,*,！,！,！
長友	名詞,固有名詞,人名,姓,*,*,長友,ナガトモ,ナガトモ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
チームメート	名詞,一般,*,*,*,*,チームメート,チームメート,チームメート
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
。	記号,句点,*,*,*,*,。,。,。
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
コーチ	名詞,一般,*,*,*,*,*
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。	記号,句点,*,*,*,*,。,。,。
　#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
長友	名詞,固有名詞,人名,姓,*,*,長友,ナガトモ,ナガトモ
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
、	記号,読点,*,*,*,*,、,、,、
カンビアッソ	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
掛け合っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,掛け合う,カケアッ,カケアッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
「	記号,括弧開,*,*,*,*,「,「,「
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット
手加減	名詞,サ変接続,*,*,*,*,手加減,テカゲン,テカゲン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
」	記号,括弧閉,*,*,*,*,」,」,」
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
(	名詞,サ変接続,*,*,*,*,*
やめろ	動詞,自立,*,*,一段,命令ｒｏ,やめる,ヤメロ,ヤメロ
)#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
】	記号,括弧閉,*,*,*,*,】,】,】
国際	名詞,一般,*,*,*,*,国際,コクサイ,コクサイ
親善	名詞,一般,*,*,*,*,親善,シンゼン,シンゼン
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
《	記号,括弧開,*,*,*,*,《,《,《
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
経過	名詞,サ変接続,*,*,*,*,経過,ケイカ,ケイカ
》	記号,括弧閉,*,*,*,*,》,》,》
🇯🇵	記号,一般,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
0	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
🇵🇾	記号,一般,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
】	記号,括弧閉,*,*,*,*,】,】,】
ロメ	名詞,固有名詞,地域,一般,*,*,ロメ,ロメ,ロメ
ロ	名詞,固有名詞,組織,*,*,*,ロ,ロ,ロ
(	名詞,サ変接続,*,*,*,*,*
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ
32	名詞,数,*,*,*,*,*
)※	名詞,サ変接続,*,*,*,*,*
ロング	名詞,一般,*,*,*,*,ロング,ロング,ロング
スロー	名詞,一般,*,*,*,*,スロー,スロー,スロー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
流れ	名詞,一般,*,*,*,*,流れ,ナガレ,ナガレ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
ボックス	名詞,一般,*,*,*,*,ボックス,ボックス,ボックス
付近	名詞,一般,*,*,*,*,付近,フキン,フキン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
繋が	動詞,自立,*,*,五段・ガ行,未然形,繋ぐ,ツナガ,ツナガ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
ロメ	名詞,固有名詞,地域,一般,*,*,ロメ,ロメ,ロメ
ロ	名詞,固有名詞,組織,*,*,*,ロ,ロ,ロ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
見事	名詞,形容動詞語幹,*,*,*,*,見事,ミゴト,ミゴト
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
反転	名詞,サ変接続,*,*,*,*,反転,ハンテン,ハンテン
シュート	名詞,サ変接続,*,*,*,*,シュート,シュート,シュート
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,未然形,決める,キメ,キメ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
テキスト	名詞,一般,*,*,*,*,テキスト,テキスト,テキスト
中継	名詞,サ変接続,*,*,*,*,中継,チュウケイ,チューケイ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
⇒…	名詞,サ変接続,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
xg	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
MZE	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
v	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
G	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
SoccerKingJP	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
🇯🇵	記号,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
スタメン	名詞,一般,*,*,*,*,スタメン,スタメン,スタメン
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
！	記号,一般,*,*,*,*,！,！,！
🇵🇾	記号,一般,*,*,*,*,*
▼	記号,一般,*,*,*,*,▼,▼,▼
GK	名詞,固有名詞,組織,*,*,*,*
12	名詞,数,*,*,*,*,*
東口	名詞,一般,*,*,*,*,東口,ヒガシグチ,ヒガシグチ
順	名詞,接尾,一般,*,*,*,順,ジュン,ジュン
昭	名詞,固有名詞,人名,名,*,*,昭,アキラ,アキラ
▼	記号,一般,*,*,*,*,▼,▼,▼
DF	名詞,固有名詞,組織,*,*,*,*
2	名詞,数,*,*,*,*,*
植田	名詞,固有名詞,人名,姓,*,*,植田,ウエダ,ウエダ
直通	名詞,サ変接続,*,*,*,*,直通,チョクツウ,チョクツー
3	名詞,数,*,*,*,*,*
昌子	名詞,固有名詞,人名,姓,*,*,昌子,ショウジ,ショージ
源	名詞,固有名詞,人名,名,*,*,源,ハジメ,ハジメ
6	名詞,数,*,*,*,*,*
遠藤	名詞,固有名詞,人名,姓,*,*,遠藤,エンドウ,エンドー
航	名詞,固有名詞,人名,名,*,*,航,ワタル,ワタル
21	名詞,数,*,*,*,*,*
酒井	名詞,固有名詞,人名,姓,*,*,酒井,サカイ,サカイ
高徳	名詞,固有名詞,人名,名,*,*,高徳,タカノリ,タカノリ
▼	記号,一般,*,*,*,*,▼,▼,▼
MF	名詞,固有名詞,組織,*,*,*,*
7	名詞,数,*,*,*,*,*
柴崎	名詞,固有名詞,人名,姓,*,*,柴崎,シバザキ,シバザキ
岳	名詞,接尾,一般,*,*,*,岳,ダケ,ダケ
10	名詞,数,*,*,*,*,*
香川	名詞,固有名詞,人名,姓,*,*,香川,カガワ,カガワ
真司	名詞,固有名詞,人名,名,*,*,真司,シンジ,シンジ
14	名詞,数,*,*,*,*,*
乾	名詞,固有名詞,人名,姓,*,*,乾,イヌイ,イヌイ
貴士	名詞,固有名詞,人名,名,*,*,貴士,タカシ,タカシ
16	名詞,数,*,*,*,*,*
山口	名詞,固有名詞,地域,一般,*,*,山口,ヤマグチ,ヤマグチ
蛍	名詞,一般,*,*,*,*,蛍,ホタル,ホタル
（	記号,括弧開,*,*,*,*,（,（,（
C	名詞,固有名詞,組織,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
▼	記号,一般,*,*,*,*,▼,▼,▼
FW	名詞,固有名詞,組織,*,*,*,*
9	名詞,数,*,*,*,*,*
岡崎	名詞,固有名詞,人名,姓,*,*,岡崎,オカザキ,オカザキ
慎	名詞,固有名詞,人名,名,*,*,慎,マコト,マコト
司	名詞,一般,*,*,*,*,司,ツカサ,ツカサ
13	名詞,数,*,*,*,*,*
武藤	名詞,固有名詞,人名,姓,*,*,武藤,ムトウ,ムトー
嘉紀	名詞,固有名詞,人名,名,*,*,嘉紀,ヨシノリ,ヨシノリ
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
…	記号,一般,*,*,*,*,…,…,…
RT	名詞,固有名詞,組織,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
footalk	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
sosal	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
🇯🇵	記号,一般,*,*,*,*,*
VS	名詞,固有名詞,組織,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
🇵🇾	記号,一般,*,*,*,*,*
親善	名詞,一般,*,*,*,*,親善,シンゼン,シンゼン
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
】	記号,括弧閉,*,*,*,*,】,】,】
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
0	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
先制	名詞,サ変接続,*,*,*,*,先制,センセイ,センセイ
！	記号,一般,*,*,*,*,！,！,！
※	記号,一般,*,*,*,*,※,※,※
※	記号,一般,*,*,*,*,※,※,※
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
※※#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
6	名詞,数,*,*,*,*,*
oeBcdS	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
cf	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
GoalJP	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
Official	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
＼#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
×	記号,一般,*,*,*,*,×,カケル,カケル
#	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
📣	記号,一般,*,*,*,*,*
／#	名詞,サ変接続,*,*,*,*,*
オスカル・ロメロ	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ミドルシュート	名詞,一般,*,*,*,*,ミドルシュート,ミドルシュート,ミドルシュート
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
右	名詞,一般,*,*,*,*,右,ミギ,ミギ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
突き刺さる	動詞,自立,*,*,五段・ラ行,基本形,突き刺さる,ツキササル,ツキササル
。	記号,句点,*,*,*,*,。,。,。
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
、	記号,読点,*,*,*,*,、,、,、
失点	名詞,サ変接続,*,*,*,*,失点,シッテン,シッテン
(	名詞,サ変接続,*,*,*,*,*
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
)#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
samuraiblue	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
西野	名詞,固有名詞,人名,姓,*,*,西野,ニシノ,ニシノ
ジャパン	名詞,固有名詞,地域,国,*,*,ジャパン,ジャパン,ジャパン
#	名詞,サ変接続,*,*,*,*,*
ワールドカップ	名詞,固有名詞,一般,*,*,*,ワールドカップ,ワールドカップ,ワールドカップ
詳細	名詞,形容動詞語幹,*,*,*,*,詳細,ショウサイ,ショーサイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
こちら	名詞,代名詞,一般,*,*,*,こちら,コチラ,コチラ
👇	記号,一般,*,*,*,*,*
htt	名詞,固有名詞,組織,*,*,*,*
…	記号,一般,*,*,*,*,…,…,…
西野	名詞,固有名詞,人名,姓,*,*,西野,ニシノ,ニシノ
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
、	記号,読点,*,*,*,*,、,、,、
協会	名詞,一般,*,*,*,*,協会,キョウカイ,キョーカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ストーリー	名詞,一般,*,*,*,*,ストーリー,ストーリー,ストーリー
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
ほら	感動詞,*,*,*,*,*,ほら,ホラ,ホラ
！	記号,一般,*,*,*,*,！,！,！
負け	動詞,自立,*,*,一段,連用形,負ける,マケ,マケ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
！	記号,一般,*,*,*,*,！,！,！
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ
BIG	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
！	記号,一般,*,*,*,*,！,！,！
」	記号,括弧閉,*,*,*,*,」,」,」
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
本戦	名詞,一般,*,*,*,*,本戦,ホンセン,ホンセン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
ケイスケホンダ	名詞,一般,*,*,*,*,*
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
使う	動詞,自立,*,*,五段・ワ行促音便,基本形,使う,ツカウ,ツカウ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ
？	記号,一般,*,*,*,*,？,？,？
じゃ	助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
と	助詞,接続助詞,*,*,*,*,と,ト,ト
この	連体詞,*,*,*,*,*,この,コノ,コノ
メンツ	名詞,一般,*,*,*,*,メンツ,メンツ,メンツ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
やる	動詞,自立,*,*,五段・ラ行,基本形,やる,ヤル,ヤル
なら	助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
ハリル	名詞,一般,*,*,*,*,*
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
良かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,良い,ヨカッ,ヨカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
#	名詞,サ変接続,*,*,*,*,*
カルチョ	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
ワン	名詞,一般,*,*,*,*,ワン,ワン,ワン
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
カウンター	名詞,一般,*,*,*,*,カウンター,カウンター,カウンター
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
イメージ	名詞,サ変接続,*,*,*,*,イメージ,イメージ,イメージ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
なぁ	助詞,終助詞,*,*,*,*,なぁ,ナァ,ナー
…	記号,一般,*,*,*,*,…,…,…
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
崩せる	動詞,自立,*,*,一段,基本形,崩せる,クズセル,クズセル
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
？	記号,一般,*,*,*,*,？,？,？
