本田	名詞,固有名詞,組織,*,*,*,本田,ホンダ,ホンダ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
※※#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
6	名詞,数,*,*,*,*,*
oeBcdS	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
cf	名詞,一般,*,*,*,*,*
良い	形容詞,自立,*,*,形容詞・アウオ段,基本形,良い,ヨイ,ヨイ
Fk	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,固有名詞,組織,*,*,*,*
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
「	記号,括弧開,*,*,*,*,「,「,「
縦	名詞,一般,*,*,*,*,縦,タテ,タテ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
速い	形容詞,自立,*,*,形容詞・アウオ段,基本形,速い,ハヤイ,ハヤイ
攻撃	名詞,サ変接続,*,*,*,*,攻撃,コウゲキ,コーゲキ
」	記号,括弧閉,*,*,*,*,」,」,」
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
やはり	副詞,一般,*,*,*,*,やはり,ヤハリ,ヤハリ
裏	名詞,一般,*,*,*,*,裏,ウラ,ウラ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
動き	名詞,一般,*,*,*,*,動き,ウゴキ,ウゴキ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
よ	名詞,非自立,助動詞語幹,*,*,*,よ,ヨ,ヨ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
地上波	名詞,一般,*,*,*,*,地上波,チジョウハ,チジョーハ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
消し	動詞,自立,*,*,五段・サ行,連用形,消す,ケシ,ケシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
Leo	名詞,固有名詞,組織,*,*,*,*
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
キング	名詞,一般,*,*,*,*,キング,キング,キング
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ライブ	名詞,一般,*,*,*,*,ライブ,ライブ,ライブ
トーク	名詞,一般,*,*,*,*,トーク,トーク,トーク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
交互	名詞,一般,*,*,*,*,交互,コウゴ,コーゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
聴い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聴く,キイ,キイ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
。	記号,句点,*,*,*,*,。,。,。
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
こっち	名詞,代名詞,一般,*,*,*,こっち,コッチ,コッチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
楽しい	形容詞,自立,*,*,形容詞・イ段,基本形,楽しい,タノシイ,タノシイ
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
クロスバー	名詞,一般,*,*,*,*,クロスバー,クロスバー,クロスバー
なんて	助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ
狙っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,狙う,ネラッ,ネラッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
も	助詞,係助詞,*,*,*,*,も,モ,モ
なかなか	副詞,助詞類接続,*,*,*,*,なかなか,ナカナカ,ナカナカ
当て	動詞,自立,*,*,一段,未然形,当てる,アテ,アテ
られ	動詞,接尾,*,*,一段,未然形,られる,ラレ,ラレ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
、	記号,読点,*,*,*,*,、,、,、
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
けっこう	副詞,一般,*,*,*,*,けっこう,ケッコウ,ケッコー
当たる	動詞,自立,*,*,五段・ラ行,基本形,当たる,アタル,アタル
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
。	記号,句点,*,*,*,*,。,。,。
不思議	名詞,形容動詞語幹,*,*,*,*,不思議,フシギ,フシギ
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
SAMURAIBLUE	名詞,一般,*,*,*,*,*
え	フィラー,*,*,*,*,*,え,エ,エ
、	記号,読点,*,*,*,*,、,、,、
直接	名詞,副詞可能,*,*,*,*,直接,チョクセツ,チョクセツ
フリー	名詞,一般,*,*,*,*,フリー,フリー,フリー
キック	名詞,サ変接続,*,*,*,*,キック,キック,キック
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
５	名詞,数,*,*,*,*,５,ゴ,ゴ
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン
も	助詞,係助詞,*,*,*,*,も,モ,モ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
の	助詞,終助詞,*,*,*,*,の,ノ,ノ
？	記号,一般,*,*,*,*,？,？,？
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,固有名詞,組織,*,*,*,*
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ
ぞ	助詞,係助詞,*,*,*,*,ぞ,ゾ,ゾ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
クロス	名詞,サ変接続,*,*,*,*,クロス,クロス,クロス
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
はやい	形容詞,自立,*,*,形容詞・アウオ段,基本形,はやい,ハヤイ,ハヤイ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
。	記号,句点,*,*,*,*,。,。,。
チェンジオブペース	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ついていけ	動詞,自立,*,*,一段,連用形,ついていける,ツイテイケ,ツイテイケ
て	動詞,非自立,*,*,一段,未然形,てる,テ,テ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
soccer	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
ntv	名詞,固有名詞,組織,*,*,*,*
こういう	連体詞,*,*,*,*,*,こういう,コウイウ,コーユウ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
なぁ	助詞,終助詞,*,*,*,*,なぁ,ナァ,ナー
。	記号,句点,*,*,*,*,。,。,。
アーリー	名詞,一般,*,*,*,*,*
ほぼ	副詞,一般,*,*,*,*,ほぼ,ホボ,ホボ
ないし	接続詞,*,*,*,*,*,ないし,ナイシ,ナイシ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
柴崎	名詞,固有名詞,人名,姓,*,*,柴崎,シバザキ,シバザキ
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ
可能	名詞,形容動詞語幹,*,*,*,*,可能,カノウ,カノー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
感じ	動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ
ねー	助詞,終助詞,*,*,*,*,ねー,ネー,ネー
…	記号,一般,*,*,*,*,…,…,…
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
直接	名詞,副詞可能,*,*,*,*,直接,チョクセツ,チョクセツ
FK	名詞,一般,*,*,*,*,*
で	助詞,格助詞,一般,*,*,*,で,デ,デ
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ものすごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ものすごい,モノスゴイ,モノスゴイ
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ
過ぎ	動詞,自立,*,*,一段,連用形,過ぎる,スギ,スギ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
草	名詞,一般,*,*,*,*,草,クサ,クサ
。	記号,句点,*,*,*,*,。,。,。
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
FK	名詞,一般,*,*,*,*,*
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いえ	動詞,自立,*,*,五段・ワ行促音便,仮定形,いう,イエ,イエ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
チャンス	名詞,一般,*,*,*,*,チャンス,チャンス,チャンス
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
あま	名詞,一般,*,*,*,*,あま,アマ,アマ
じゅん	名詞,固有名詞,人名,名,*,*,じゅん,ジュン,ジュン
なら	助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
（	記号,括弧開,*,*,*,*,（,（,（
呼べ	動詞,自立,*,*,一段,連用形,呼べる,ヨベ,ヨベ
アピール	名詞,サ変接続,*,*,*,*,アピール,アピール,アピール
）	記号,括弧閉,*,*,*,*,）,）,）
#	名詞,サ変接続,*,*,*,*,*
fmarinos	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
天野	名詞,固有名詞,人名,姓,*,*,天野,アマノ,アマノ
純	名詞,固有名詞,人名,名,*,*,純,ジュン,ジュン
RT	名詞,固有名詞,組織,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
Y	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
and	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
D	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
データ	名詞,一般,*,*,*,*,データ,データ,データ
放送	名詞,サ変接続,*,*,*,*,放送,ホウソウ,ホーソー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
吉田	名詞,固有名詞,人名,姓,*,*,吉田,ヨシダ,ヨシダ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
草	名詞,一般,*,*,*,*,草,クサ,クサ
生える	動詞,自立,*,*,一段,基本形,生える,ハエル,ハエル
じゃあ	助詞,副助詞,*,*,*,*,じゃあ,ジャア,ジャー
ねぇ	助詞,終助詞,*,*,*,*,ねぇ,ネェ,ネー
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
lFOsfs	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
hoF	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
myayun	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
gil	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
都	名詞,接尾,地域,*,*,*,都,ト,ト
並	名詞,一般,*,*,*,*,並,ナミ,ナミ
・	記号,一般,*,*,*,*,・,・,・
北澤	名詞,固有名詞,人名,姓,*,*,北澤,キタザワ,キタザワ
「	記号,括弧開,*,*,*,*,「,「,「
カンビアッソ	名詞,固有名詞,一般,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
コロンビア	名詞,固有名詞,地域,国,*,*,コロンビア,コロンビア,コロンビア
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
スタッフ	名詞,一般,*,*,*,*,スタッフ,スタッフ,スタッフ
)	名詞,サ変接続,*,*,*,*,*
も	助詞,係助詞,*,*,*,*,も,モ,モ
偵察	名詞,サ変接続,*,*,*,*,偵察,テイサツ,テイサツ
観戦	名詞,サ変接続,*,*,*,*,観戦,カンセン,カンセン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
出る	動詞,自立,*,*,一段,基本形,出る,デル,デル
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ
困惑	名詞,サ変接続,*,*,*,*,困惑,コンワク,コンワク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
でしょ	助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
❗」	名詞,サ変接続,*,*,*,*,*
カンビアッソ	名詞,一般,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
出る	動詞,自立,*,*,一段,基本形,出る,デル,デル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ
ん	助動詞,*,*,*,不変化型,基本形,ん,ン,ン
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
出	動詞,自立,*,*,一段,連用形,出る,デ,デ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
も	助詞,係助詞,*,*,*,*,も,モ,モ
楽勝	名詞,サ変接続,*,*,*,*,楽勝,ラクショウ,ラクショー
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
…	記号,一般,*,*,*,*,…,…,…
」	記号,括弧閉,*,*,*,*,」,」,」
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
FK	名詞,一般,*,*,*,*,*
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
岳	名詞,固有名詞,人名,名,*,*,岳,タケシ,タケシ
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
乾	名詞,一般,*,*,*,*,乾,イヌイ,イヌイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
。	記号,句点,*,*,*,*,。,。,。
本田	名詞,固有名詞,組織,*,*,*,本田,ホンダ,ホンダ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
もう	副詞,一般,*,*,*,*,もう,モウ,モー
引く	動詞,自立,*,*,五段・カ行イ音便,基本形,引く,ヒク,ヒク
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
。	記号,句点,*,*,*,*,。,。,。
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
もっと	副詞,一般,*,*,*,*,もっと,モット,モット
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ
がっ	動詞,接尾,*,*,五段・ラ行,連用タ接続,がる,ガッ,ガッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
行く	動詞,非自立,*,*,五段・カ行促音便,基本形,行く,イク,イク
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
＃	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
webstyleking	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
柴崎	名詞,固有名詞,人名,姓,*,*,柴崎,シバザキ,シバザキ
岳	名詞,固有名詞,人名,名,*,*,岳,タケシ,タケシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
直接	名詞,副詞可能,*,*,*,*,直接,チョクセツ,チョクセツ
フリー	名詞,一般,*,*,*,*,フリー,フリー,フリー
キック	名詞,サ変接続,*,*,*,*,キック,キック,キック
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
クロスバー	名詞,一般,*,*,*,*,クロスバー,クロスバー,クロスバー
にあたり	助詞,格助詞,連語,*,*,*,にあたり,ニアタリ,ニアタリ
外れる	動詞,自立,*,*,一段,基本形,外れる,ハズレル,ハズレル
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
SAMURAIBLUE	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
Worldcup	名詞,一般,*,*,*,*,*
枠	名詞,接尾,一般,*,*,*,枠,ワク,ワク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
いっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ
て	動詞,非自立,*,*,一段,連用形,てる,テ,テ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
も	助詞,係助詞,*,*,*,*,も,モ,モ
止め	動詞,自立,*,*,一段,未然形,止める,トメ,トメ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
て	動詞,非自立,*,*,一段,連用形,てる,テ,テ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
nikkan	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
soccer	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
－	名詞,サ変接続,*,*,*,*,*
１	名詞,数,*,*,*,*,１,イチ,イチ
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
】	記号,括弧閉,*,*,*,*,】,】,】
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
３	名詞,数,*,*,*,*,３,サン,サン
２	名詞,数,*,*,*,*,２,ニ,ニ
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
　	記号,空白,*,*,*,*,　,　,　
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
先制	名詞,サ変接続,*,*,*,*,先制,センセイ,センセイ
。	記号,句点,*,*,*,*,。,。,。
右	名詞,一般,*,*,*,*,右,ミギ,ミギ
ロング	名詞,一般,*,*,*,*,ロング,ロング,ロング
スロー	名詞,一般,*,*,*,*,スロー,スロー,スロー
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ボール	名詞,一般,*,*,*,*,ボール,ボール,ボール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つなぎ	動詞,自立,*,*,五段・ガ行,連用形,つなぐ,ツナギ,ツナギ
、	記号,読点,*,*,*,*,、,、,、
オスカル・ロメロ	名詞,一般,*,*,*,*,*
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ボール	名詞,一般,*,*,*,*,ボール,ボール,ボール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
コントロール	名詞,サ変接続,*,*,*,*,コントロール,コントロール,コントロール
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
左足	名詞,一般,*,*,*,*,左足,ヒダリアシ,ヒダリアシ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
右	名詞,一般,*,*,*,*,右,ミギ,ミギ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
▼	記号,一般,*,*,*,*,▼,▼,▼
▼	記号,一般,*,*,*,*,▼,▼,▼
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
▼	記号,一般,*,*,*,*,▼,▼,▼
▼	記号,一般,*,*,*,*,▼,▼,▼
https	名詞,固有名詞,組織,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
ck	名詞,一般,*,*,*,*,*
0	名詞,数,*,*,*,*,*
YPUlpgE	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
…	記号,一般,*,*,*,*,…,…,…
蛍	名詞,一般,*,*,*,*,蛍,ホタル,ホタル
と	助詞,並立助詞,*,*,*,*,と,ト,ト
遠藤	名詞,固有名詞,人名,姓,*,*,遠藤,エンドウ,エンドー
ボール	名詞,一般,*,*,*,*,ボール,ボール,ボール
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
足	名詞,一般,*,*,*,*,足,アシ,アシ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
つか	動詞,自立,*,*,五段・カ行イ音便,未然形,つく,ツカ,ツカ
な	助動詞,*,*,*,特殊・ナイ,ガル接続,ない,ナ,ナ
すぎ	名詞,接尾,副詞可能,*,*,*,すぎ,スギ,スギ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
